2021/01/11 11:48:21 [info] lua thread no.1 started.
2021/01/11 11:48:21 [info] lua thread no.10 started.
2021/01/11 11:48:21 [info] lua thread no.6 started.
2021/01/11 11:48:21 [info] lua thread no.0 started.
2021/01/11 11:48:21 [info] lua thread no.11 started.
2021/01/11 11:48:21 [info] lua thread no.3 started.
2021/01/11 11:48:21 [info] lua thread no.2 started.
2021/01/11 11:48:21 [info] lua thread no.4 started.
2021/01/11 11:48:21 [info] lua thread no.5 started.
2021/01/11 11:48:21 [info] lua thread no.9 started.
2021/01/11 11:48:21 [info] lua thread no.7 started.
2021/01/11 11:48:21 [info] lua thread no.8 started.
2021/01/11 11:48:24 [info] compile new lua script counter.lua.
2021/01/11 11:48:24 [info] compile new lua script counter.lua.
2021/01/11 11:48:24 [info] compile new lua script counter.lua.
2021/01/11 11:48:24 [info] compile new lua script counter.lua.
2021/01/11 11:48:24 [info] compile new lua script counter.lua.
2021/01/11 11:48:24 [info] compile new lua script counter.lua.
2021/01/11 11:48:24 [info] compile new lua script counter.lua.
2021/01/11 11:48:24 [info] compile new lua script counter.lua.
2021/01/11 11:48:24 [info] compile new lua script counter.lua.
2021/01/11 11:48:24 [info] compile new lua script counter.lua.
2021/01/11 11:48:24 [info] compile new lua script counter.lua.
2021/01/11 11:48:24 [info] compile new lua script counter.lua.
